Account Statement - 08/11/2025 10:54:45
Owner report Id : 25100022 - From Date : 2025-08-06 - To Date : 2025-11-08
Pending Order
AccountId,Ticket,Date,Symbol,Amount,B/S,Price,S/L,T/P,Swap,PL
Open Position
AccountId,Order,Date,Symbol,Amount,Type,Price,SL,TP
Deals
AccountId,Ticket,Date,Symbol,Amount,B/S,Price,Open/SL,Close/TP,Comm,Swap,PL
25100020,250810016,2025-08-07 05:50:35,,0,balance,0,,,0,0,1000
25100020,250810017,2025-08-07 05:51:32,,0,balance,0,,,0,0,1000
25100020,250810018,2025-08-07 05:52:37,,0,balance,0,,,0,0,-2000
25100020,250810072,2025-08-12 07:00:50,AUDJPY,0.1,buy,1.078,,,0,0,0
25100020,250810073,2025-08-12 07:00:55,AUDJPY,0.1,sell,1.068,,,0,0,-1.07
25100020,250810119,2025-08-13 05:46:06,AUDJPY,0.1,buy,1.095,,,0,0,0
25100020,250810170,2025-08-18 09:37:22,AUDJPY,0.1,sell,1.07,1,2,0,0,-2.67
25100020,250810171,2025-08-18 09:38:01,AUDJPY,0.1,buy,1.067,1,2,0,0,0
25100020,250810172,2025-08-18 10:54:05,AUDJPY,0.1,sell,1.087,1,2,0,0,2.17
25100020,250810173,2025-08-18 10:54:45,AUDJPY,0.1,buy,1.091,1,2,0,0,0
25100020,250810174,2025-08-18 11:05:00,AUDJPY,0.1,sell,1.092,0.9,1.09,0,0,0.11
25100020,250810178,2025-08-20 09:41:47,AUDJPY,0.1,buy,1.085,1,2,0,0,0
25100020,250810192,2025-08-21 09:17:57,AUDJPY,0.1,sell,1.056,1,2,0,0,-3.06
25100020,250810216,2025-08-23 11:02:07,AUDJPY,0.1,buy,1.066,,,0,0,0
25100020,250810217,2025-08-23 11:02:11,AUDNZD,0.1,buy,1.054,,,0,0,0
25100020,250810218,2025-08-23 11:02:16,DEMOSY,0.1,buy,1.083,,,0,0,0
25100020,250810219,2025-08-23 11:02:19,DEMO_EURUSD,0.1,buy,1.06,,,0,0,0
25100020,250810220,2025-08-23 11:02:22,DEMO_EURUSD,0.1,buy,1.071,,,0,0,0
25100020,250810221,2025-08-23 11:02:55,GOLD,0.1,buy,1.057,,,0,0,0
25100020,250810233,2025-08-23 11:04:08,AUDJPY,0.1,sell,1.078,,,0,0,1.29
25100020,250810234,2025-08-23 11:04:11,AUDNZD,0.1,sell,1.096,,,0,0,4.2
25100020,250810235,2025-08-23 11:04:14,DEMOSY,0.1,sell,1.072,,,0,0,0
25100020,250810236,2025-08-23 11:04:17,DEMO_EURUSD,0.1,sell,1.058,,,0,0,-0.23
25100020,250810237,2025-08-23 11:04:20,DEMO_EURUSD,0.1,sell,1.098,,,0,0,3.17
25100020,250810238,2025-08-23 11:04:24,GOLD,0.1,sell,1.096,,,0,0,3.9
25100020,250810260,2025-08-23 12:06:16,AUDJPY,0.1,buy,1.058,,,0,0,0
25100020,250810265,2025-08-23 12:16:25,AUDJPY,0.1,sell,1.073,,,0,0,1.61
25100020,250810266,2025-08-23 12:41:23,AUDJPY,0.1,buy,1.058,,,0,0,0
25100020,250810267,2025-08-23 12:41:26,AUDNZD,0.1,buy,1.083,,,0,0,0
25100020,250810270,2025-08-23 12:43:53,AUDJPY,0.1,sell,1.097,,,0,0,4.28
25100020,250810271,2025-08-23 12:43:56,AUDNZD,0.1,sell,1.056,,,0,0,-2.7
25100020,250810274,2025-08-26 04:54:53,AUDJPY,0.1,buy,1.058,,,0,0,0
25100020,250810275,2025-08-26 04:54:58,AUDNZD,0.1,buy,1.05,,,0,0,0
25100020,250810276,2025-08-26 07:04:04,AUDJPY,0.1,sell,1.087,,,0,0,3.15
25100020,250810277,2025-08-26 07:04:07,AUDNZD,0.1,sell,1.097,,,0,0,4.7
25100020,250810283,2025-08-26 11:59:25,AUDJPY,0.1,buy,1.096,,,0,0,0
25100020,250810287,2025-08-26 12:06:49,AUDJPY,0.1,sell,1.062,,,0,0,-3.61
25100020,250810319,2025-08-27 07:18:01,AUDJPY,0.1,buy,1.078,,,0,0,0
25100020,250810320,2025-08-27 07:18:05,AUDJPY,0.1,buy,1.081,,,0,0,0
25100020,250810321,2025-08-27 07:18:08,AUDNZD,0.1,buy,1.098,,,0,0,0
25100020,250810325,2025-08-27 07:18:44,AUDJPY,0.1,sell,1.064,,,0,0,-1.49
25100020,250810326,2025-08-27 07:18:47,AUDJPY,0.1,sell,1.065,,,0,0,-1.7
25100020,250810327,2025-08-27 07:18:50,AUDNZD,0.1,sell,1.051,,,0,0,-4.7
25100020,250810410,2025-08-29 04:48:42,AUDJPY,0.1,buy,1.064,,,0,0,0
25100020,250810411,2025-08-29 04:48:45,AUDJPY,0.1,buy,1.059,,,0,0,0
25100020,250810412,2025-08-29 04:48:48,AUDJPY,0.1,sell,1.073,,,0,0,0
25100020,250810413,2025-08-29 04:48:51,AUDJPY,0.1,sell,1.08,,,0,0,0
25100020,250810414,2025-08-29 04:48:54,AUDJPY,0.1,sell,1.087,,,0,0,0
25100020,250810444,2025-08-30 10:46:06,AUDJPY,0.1,buy,1.081,,,0,0,0
25100020,250910001,2025-09-04 06:09:43,AUDNZD,0.1,buy,0.48715,,,0,0,0
25100020,250910002,2025-09-04 06:10:10,AUDJPY,0.1,sell,96.688,,,0,0,924569.33
25100020,250910003,2025-09-04 06:10:13,AUDJPY,0.1,sell,96.693,,,0,0,924713.84
25100020,250910004,2025-09-04 06:10:16,AUDJPY,0.1,buy,96.693,,,0,0,-924578.47
25100020,250910005,2025-09-04 06:10:19,AUDJPY,0.1,buy,96.691,,,0,0,-924472.32
25100020,250910006,2025-09-04 06:10:22,AUDJPY,0.1,buy,96.689,,,0,0,-924366.18
25100020,250910007,2025-09-04 06:10:25,AUDJPY,0.1,sell,96.687,,,0,0,924385.73
25100020,250910118,2025-09-17 12:09:50,AUDJPY,0.1,buy,97.7412,,,0,0,0
25100020,250910119,2025-09-17 12:10:01,AUDUSD,0.1,buy,0.66788,,,0,0,0
25100020,250910120,2025-09-17 12:10:12,Bitcoin,0.1,buy,116250.64,,,0,0,0
25100020,250910121,2025-09-17 12:13:08,Bitcoin,0.1,sell,116356.81,,,0,0,10617
25100020,250910122,2025-09-17 12:13:18,Bitcoin,0.1,buy,116380.1,,,0,0,0
25100020,250910123,2025-09-17 12:17:14,,100,buy,1.77269,,,0,0,0
25100020,250910124,2025-09-17 12:17:49,,100,sell,1.77269,,,0,0,0
25100020,250910125,2025-09-17 12:18:13,AUDUSD,0.1,sell,0.6676,,,0,0,-0.03
25100020,250910126,2025-09-17 12:18:19,AUDJPY,0.1,sell,97.768,,,0,0,262.02
25100020,250910127,2025-09-17 12:18:28,Bitcoin,0.1,sell,116279.72,,,0,0,-10038
25100020,250910128,2025-09-17 12:19:30,AUDNZD,0.1,sell,0.48784,,,0,0,0.07
25100020,250910173,2025-09-29 08:43:36,AUDUSD,0.3,buy,0.6567200008,,,0,0,0
